drink,price,hour,arrival_no
mountain_dew,1.4,0,0
coke,1.3,0,1
mountain_dew,1.4,1,0
fanta_grape,1.1,1,1
fanta_grape,1.1,2,0
mountain_dew,1.4,2,1
sprite,1.2,2,2
coke,1.3,3,0
pepsi,1.1,3,1
coke,1.3,4,0
coke,1.3,4,1
mountain_dew,1.4,5,0
sprite,1.2,5,1
coke,1.3,5,2
ice_lemon_tea,1.4,5,3
sprite,1.2,6,0
pepsi,1.1,6,1
coke,1.3,6,2
coke,1.3,6,3
coke,1.3,7,0
fanta_orange,1.1,7,1
fanta_grape,1.1,7,2
ice_lemon_tea,1.4,8,0
mountain_dew,1.4,8,1
pepsi,1.1,8,2
pepsi,1.1,9,0
fanta_grape,1.1,10,0
coke,1.3,10,1
fanta_grape,1.1,10,2
mountain_dew,1.4,11,0
sprite,1.2,11,1
fanta_grape,1.1,11,2
ice_lemon_tea,1.4,12,0
mountain_dew,1.4,12,1
ice_lemon_tea,1.4,12,2
pepsi,1.1,13,0
fanta_grape,1.1,13,1
ice_lemon_tea,1.4,13,2
fanta_orange,1.1,13,3
ice_lemon_tea,1.4,13,4
fanta_grape,1.1,13,5
ice_lemon_tea,1.4,13,6
coke,1.3,13,7
mountain_dew,1.4,14,0
pepsi,1.1,14,1
fanta_orange,1.1,14,2
pepsi,1.1,14,3
fanta_orange,1.1,14,4
fanta_orange,1.1,14,5
ice_lemon_tea,1.4,15,0
sprite,1.2,15,1
sprite,1.2,15,2
fanta_grape,1.1,15,3
pepsi,1.1,15,4
fanta_grape,1.1,16,0
sprite,1.2,16,1
fanta_orange,1.1,16,2
ice_lemon_tea,1.4,16,3
coke,1.3,17,0
fanta_grape,1.1,17,1
coke,1.3,17,2
coke,1.3,17,3
fanta_orange,1.1,18,0
coke,1.3,18,1
sprite,1.2,18,2
sprite,1.2,19,0
ice_lemon_tea,1.4,19,1
sprite,1.2,20,0
sprite,1.2,20,1
coke,1.3,20,2
mountain_dew,1.4,20,3
fanta_orange,1.1,20,4
ice_lemon_tea,1.4,21,0
pepsi,1.1,21,1
pepsi,1.1,21,2
sprite,1.2,21,3
mountain_dew,1.4,21,4
sprite,1.2,22,0
fanta_orange,1.1,22,1
ice_lemon_tea,1.4,22,2
