drink,price,hour,arrival_no
sprite,1.2,0,0
pepsi,1.1,0,1
fanta_grape,1.1,1,0
fanta_grape,1.1,1,1
ice_lemon_tea,1.4,1,2
coke,1.3,2,0
fanta_orange,1.1,2,1
sprite,1.2,2,2
coke,1.3,2,3
fanta_orange,1.1,2,4
fanta_orange,1.1,2,5
sprite,1.2,3,0
mountain_dew,1.4,3,1
pepsi,1.1,3,2
coke,1.3,4,0
pepsi,1.1,4,1
coke,1.3,5,0
coke,1.3,5,1
pepsi,1.1,5,2
fanta_grape,1.1,6,0
pepsi,1.1,7,0
coke,1.3,7,1
fanta_grape,1.1,7,2
pepsi,1.1,7,3
fanta_orange,1.1,8,0
coke,1.3,8,1
sprite,1.2,8,2
fanta_grape,1.1,9,0
coke,1.3,9,1
ice_lemon_tea,1.4,9,2
pepsi,1.1,9,3
ice_lemon_tea,1.4,10,0
ice_lemon_tea,1.4,10,1
ice_lemon_tea,1.4,10,2
sprite,1.2,11,0
pepsi,1.1,11,1
ice_lemon_tea,1.4,11,2
fanta_grape,1.1,11,3
mountain_dew,1.4,13,0
sprite,1.2,13,1
ice_lemon_tea,1.4,13,2
coke,1.3,13,3
fanta_grape,1.1,14,0
mountain_dew,1.4,14,1
coke,1.3,14,2
fanta_orange,1.1,14,3
coke,1.3,14,4
fanta_orange,1.1,15,0
ice_lemon_tea,1.4,15,1
fanta_orange,1.1,16,0
ice_lemon_tea,1.4,16,1
mountain_dew,1.4,16,2
mountain_dew,1.4,16,3
sprite,1.2,16,4
pepsi,1.1,16,5
coke,1.3,18,0
mountain_dew,1.4,18,1
fanta_grape,1.1,18,2
fanta_orange,1.1,18,3
sprite,1.2,18,4
pepsi,1.1,19,0
sprite,1.2,19,1
pepsi,1.1,19,2
sprite,1.2,20,0
fanta_grape,1.1,20,1
fanta_orange,1.1,20,2
fanta_grape,1.1,20,3
fanta_orange,1.1,20,4
sprite,1.2,20,5
ice_lemon_tea,1.4,21,0
sprite,1.2,21,1
fanta_orange,1.1,23,0
