drink,price,hour,arrival_no
ice_lemon_tea,1.4,1,0
sprite,1.2,2,0
mountain_dew,1.4,2,1
fanta_orange,1.1,2,2
fanta_orange,1.1,3,0
ice_lemon_tea,1.4,3,1
pepsi,1.1,3,2
mountain_dew,1.4,3,3
fanta_orange,1.1,3,4
fanta_orange,1.1,4,0
coke,1.3,4,1
coke,1.3,5,0
fanta_orange,1.1,5,1
fanta_grape,1.1,5,2
fanta_grape,1.1,6,0
fanta_grape,1.1,7,0
ice_lemon_tea,1.4,7,1
fanta_grape,1.1,8,0
fanta_grape,1.1,8,1
fanta_grape,1.1,8,2
coke,1.3,8,3
fanta_grape,1.1,8,4
mountain_dew,1.4,8,5
fanta_orange,1.1,8,6
mountain_dew,1.4,8,7
coke,1.3,8,8
fanta_orange,1.1,9,0
fanta_orange,1.1,9,1
coke,1.3,9,2
mountain_dew,1.4,10,0
ice_lemon_tea,1.4,10,1
fanta_grape,1.1,10,2
ice_lemon_tea,1.4,10,3
ice_lemon_tea,1.4,11,0
pepsi,1.1,13,0
sprite,1.2,13,1
coke,1.3,14,0
ice_lemon_tea,1.4,14,1
ice_lemon_tea,1.4,14,2
sprite,1.2,14,3
coke,1.3,14,4
fanta_orange,1.1,15,0
sprite,1.2,15,1
fanta_grape,1.1,15,2
pepsi,1.1,15,3
pepsi,1.1,15,4
sprite,1.2,15,5
pepsi,1.1,16,0
coke,1.3,16,1
coke,1.3,16,2
fanta_orange,1.1,16,3
ice_lemon_tea,1.4,16,4
fanta_grape,1.1,17,0
fanta_grape,1.1,17,1
fanta_orange,1.1,17,2
mountain_dew,1.4,17,3
pepsi,1.1,17,4
sprite,1.2,18,0
ice_lemon_tea,1.4,19,0
fanta_grape,1.1,19,1
coke,1.3,19,2
pepsi,1.1,20,0
pepsi,1.1,21,0
pepsi,1.1,21,1
mountain_dew,1.4,22,0
coke,1.3,22,1
pepsi,1.1,22,2
sprite,1.2,22,3
fanta_grape,1.1,22,4
pepsi,1.1,22,5
fanta_orange,1.1,23,0
mountain_dew,1.4,23,1
coke,1.3,23,2
pepsi,1.1,23,3
fanta_grape,1.1,24,0
fanta_orange,1.1,24,1
ice_lemon_tea,1.4,24,2
pepsi,1.1,24,3
fanta_orange,1.1,24,4
fanta_grape,1.1,24,5
fanta_grape,1.1,26,0
fanta_orange,1.1,26,1
pepsi,1.1,26,2
mountain_dew,1.4,26,3
fanta_orange,1.1,28,0
mountain_dew,1.4,28,1
coke,1.3,28,2
mountain_dew,1.4,29,0
fanta_orange,1.1,29,1
fanta_orange,1.1,30,0
fanta_orange,1.1,30,1
fanta_grape,1.1,30,2
fanta_orange,1.1,31,0
sprite,1.2,32,0
ice_lemon_tea,1.4,32,1
pepsi,1.1,33,0
mountain_dew,1.4,33,1
coke,1.3,34,0
pepsi,1.1,34,1
mountain_dew,1.4,34,2
sprite,1.2,35,0
pepsi,1.1,35,1
coke,1.3,35,2
pepsi,1.1,36,0
sprite,1.2,36,1
mountain_dew,1.4,37,0
pepsi,1.1,37,1
fanta_grape,1.1,38,0
mountain_dew,1.4,38,1
ice_lemon_tea,1.4,38,2
coke,1.3,38,3
sprite,1.2,38,4
sprite,1.2,38,5
ice_lemon_tea,1.4,38,6
fanta_grape,1.1,38,7
ice_lemon_tea,1.4,39,0
fanta_grape,1.1,39,1
mountain_dew,1.4,40,0
coke,1.3,40,1
pepsi,1.1,40,2
ice_lemon_tea,1.4,41,0
mountain_dew,1.4,41,1
coke,1.3,42,0
ice_lemon_tea,1.4,42,1
sprite,1.2,43,0
sprite,1.2,43,1
ice_lemon_tea,1.4,44,0
sprite,1.2,44,1
coke,1.3,44,2
coke,1.3,44,3
ice_lemon_tea,1.4,45,0
coke,1.3,45,1
ice_lemon_tea,1.4,46,0
coke,1.3,47,0
mountain_dew,1.4,47,1
ice_lemon_tea,1.4,47,2
mountain_dew,1.4,47,3
mountain_dew,1.4,47,4
sprite,1.2,48,0
coke,1.3,49,0
coke,1.3,49,1
sprite,1.2,49,2
coke,1.3,49,3
sprite,1.2,49,4
sprite,1.2,50,0
coke,1.3,50,1
coke,1.3,50,2
sprite,1.2,51,0
ice_lemon_tea,1.4,52,0
sprite,1.2,52,1
ice_lemon_tea,1.4,52,2
ice_lemon_tea,1.4,52,3
sprite,1.2,52,4
coke,1.3,52,5
sprite,1.2,52,6
coke,1.3,53,0
coke,1.3,54,0
ice_lemon_tea,1.4,56,0
ice_lemon_tea,1.4,57,0
coke,1.3,57,1
ice_lemon_tea,1.4,57,2
sprite,1.2,57,3
sprite,1.2,58,0
sprite,1.2,58,1
ice_lemon_tea,1.4,58,2
sprite,1.2,59,0
sprite,1.2,59,1
ice_lemon_tea,1.4,59,2
ice_lemon_tea,1.4,59,3
ice_lemon_tea,1.4,59,4
ice_lemon_tea,1.4,60,0
ice_lemon_tea,1.4,60,1
coke,1.3,61,0
coke,1.3,61,1
sprite,1.2,62,0
ice_lemon_tea,1.4,62,1
coke,1.3,62,2
sprite,1.2,62,3
ice_lemon_tea,1.4,63,0
coke,1.3,63,1
ice_lemon_tea,1.4,63,2
coke,1.3,64,0
coke,1.3,64,1
ice_lemon_tea,1.4,64,2
coke,1.3,65,0
coke,1.3,65,1
coke,1.3,66,0
ice_lemon_tea,1.4,66,1
coke,1.3,67,0
coke,1.3,67,1
ice_lemon_tea,1.4,68,0
coke,1.3,68,1
ice_lemon_tea,1.4,69,0
coke,1.3,69,1
coke,1.3,69,2
coke,1.3,70,0
coke,1.3,70,1
coke,1.3,70,2
coke,1.3,71,0
coke,1.3,71,1
missed_sale,0,72,0
missed_sale,0,72,1
missed_sale,0,72,2
missed_sale,0,72,3
missed_sale,0,72,4
missed_sale,0,72,5
missed_sale,0,72,6
missed_sale,0,73,0
missed_sale,0,73,1
missed_sale,0,73,2
missed_sale,0,73,3
missed_sale,0,74,0
missed_sale,0,74,1
missed_sale,0,74,2
missed_sale,0,74,3
missed_sale,0,75,0
missed_sale,0,75,1
missed_sale,0,76,0
missed_sale,0,76,1
missed_sale,0,76,2
missed_sale,0,76,3
missed_sale,0,77,0
missed_sale,0,77,1
missed_sale,0,77,2
missed_sale,0,77,3
missed_sale,0,77,4
missed_sale,0,78,0
missed_sale,0,78,1
missed_sale,0,78,2
missed_sale,0,79,0
missed_sale,0,79,1
missed_sale,0,80,0
missed_sale,0,80,1
missed_sale,0,80,2
missed_sale,0,80,3
missed_sale,0,81,0
missed_sale,0,81,1
missed_sale,0,81,2
missed_sale,0,82,0
missed_sale,0,82,1
missed_sale,0,82,2
missed_sale,0,83,0
missed_sale,0,83,1
missed_sale,0,83,2
missed_sale,0,83,3
missed_sale,0,83,4
missed_sale,0,84,0
missed_sale,0,84,1
missed_sale,0,85,0
missed_sale,0,86,0
missed_sale,0,86,1
missed_sale,0,87,0
missed_sale,0,88,0
missed_sale,0,88,1
missed_sale,0,88,2
missed_sale,0,88,3
missed_sale,0,88,4
missed_sale,0,88,5
missed_sale,0,89,0
missed_sale,0,90,0
missed_sale,0,91,0
missed_sale,0,92,0
missed_sale,0,93,0
missed_sale,0,93,1
missed_sale,0,93,2
missed_sale,0,93,3
missed_sale,0,94,0
missed_sale,0,95,0
missed_sale,0,95,1
missed_sale,0,95,2
missed_sale,0,95,3
missed_sale,0,96,0
missed_sale,0,96,1
missed_sale,0,96,2
missed_sale,0,97,0
missed_sale,0,97,1
missed_sale,0,98,0
missed_sale,0,98,1
missed_sale,0,100,0
missed_sale,0,100,1
missed_sale,0,100,2
missed_sale,0,100,3
missed_sale,0,100,4
missed_sale,0,100,5
missed_sale,0,100,6
missed_sale,0,101,0
missed_sale,0,101,1
missed_sale,0,101,2
missed_sale,0,102,0
missed_sale,0,102,1
missed_sale,0,102,2
missed_sale,0,102,3
missed_sale,0,102,4
missed_sale,0,103,0
missed_sale,0,103,1
missed_sale,0,103,2
missed_sale,0,103,3
missed_sale,0,104,0
missed_sale,0,104,1
missed_sale,0,104,2
missed_sale,0,105,0
missed_sale,0,105,1
missed_sale,0,105,2
missed_sale,0,105,3
missed_sale,0,105,4
missed_sale,0,105,5
missed_sale,0,105,6
missed_sale,0,106,0
missed_sale,0,106,1
missed_sale,0,107,0
missed_sale,0,108,0
missed_sale,0,109,0
missed_sale,0,109,1
missed_sale,0,110,0
missed_sale,0,110,1
missed_sale,0,110,2
missed_sale,0,110,3
missed_sale,0,110,4
missed_sale,0,110,5
missed_sale,0,110,6
missed_sale,0,111,0
missed_sale,0,111,1
missed_sale,0,111,2
missed_sale,0,111,3
missed_sale,0,111,4
missed_sale,0,112,0
missed_sale,0,112,1
missed_sale,0,115,0
missed_sale,0,115,1
missed_sale,0,115,2
missed_sale,0,116,0
missed_sale,0,116,1
missed_sale,0,116,2
missed_sale,0,117,0
missed_sale,0,117,1
missed_sale,0,117,2
missed_sale,0,118,0
missed_sale,0,118,1
missed_sale,0,119,0
missed_sale,0,119,1
missed_sale,0,120,0
missed_sale,0,120,1
missed_sale,0,121,0
missed_sale,0,121,1
missed_sale,0,121,2
missed_sale,0,122,0
missed_sale,0,122,1
missed_sale,0,122,2
missed_sale,0,123,0
missed_sale,0,124,0
missed_sale,0,125,0
missed_sale,0,126,0
missed_sale,0,127,0
missed_sale,0,127,1
missed_sale,0,127,2
missed_sale,0,128,0
missed_sale,0,129,0
missed_sale,0,129,1
missed_sale,0,129,2
missed_sale,0,129,3
missed_sale,0,129,4
missed_sale,0,130,0
missed_sale,0,130,1
missed_sale,0,130,2
missed_sale,0,131,0
missed_sale,0,131,1
missed_sale,0,131,2
missed_sale,0,131,3
missed_sale,0,131,4
missed_sale,0,131,5
missed_sale,0,131,6
missed_sale,0,132,0
missed_sale,0,132,1
missed_sale,0,133,0
missed_sale,0,133,1
missed_sale,0,134,0
missed_sale,0,135,0
missed_sale,0,135,1
missed_sale,0,135,2
missed_sale,0,135,3
missed_sale,0,135,4
missed_sale,0,136,0
missed_sale,0,136,1
missed_sale,0,137,0
missed_sale,0,138,0
missed_sale,0,138,1
missed_sale,0,138,2
missed_sale,0,138,3
missed_sale,0,139,0
missed_sale,0,139,1
missed_sale,0,140,0
missed_sale,0,140,1
missed_sale,0,140,2
missed_sale,0,141,0
missed_sale,0,141,1
missed_sale,0,141,2
missed_sale,0,142,0
missed_sale,0,142,1
missed_sale,0,142,2
missed_sale,0,142,3
missed_sale,0,143,0
missed_sale,0,143,1
missed_sale,0,143,2
missed_sale,0,143,3
missed_sale,0,144,0
missed_sale,0,144,1
missed_sale,0,146,0
missed_sale,0,146,1
missed_sale,0,146,2
missed_sale,0,146,3
missed_sale,0,147,0
missed_sale,0,147,1
missed_sale,0,147,2
missed_sale,0,148,0
missed_sale,0,148,1
missed_sale,0,148,2
missed_sale,0,148,3
missed_sale,0,148,4
missed_sale,0,149,0
missed_sale,0,149,1
missed_sale,0,149,2
missed_sale,0,150,0
missed_sale,0,152,0
missed_sale,0,152,1
missed_sale,0,153,0
