drink,price,hour,arrival_no
coke,1.3,0,0
pepsi,1.1,0,1
pepsi,1.1,0,2
fanta_grape,1.1,0,3
pepsi,1.1,0,4
ice_lemon_tea,1.4,1,0
fanta_grape,1.1,1,1
pepsi,1.1,1,2
pepsi,1.1,2,0
fanta_grape,1.1,2,1
fanta_grape,1.1,2,2
coke,1.3,3,0
fanta_orange,1.1,3,1
fanta_grape,1.1,3,2
coke,1.3,4,0
ice_lemon_tea,1.4,4,1
fanta_orange,1.1,4,2
fanta_grape,1.1,5,0
mountain_dew,1.4,5,1
fanta_orange,1.1,5,2
coke,1.3,5,3
mountain_dew,1.4,6,0
coke,1.3,6,1
coke,1.3,7,0
mountain_dew,1.4,9,0
ice_lemon_tea,1.4,9,1
fanta_grape,1.1,9,2
pepsi,1.1,10,0
pepsi,1.1,10,1
sprite,1.2,10,2
coke,1.3,10,3
coke,1.3,11,0
sprite,1.2,11,1
ice_lemon_tea,1.4,11,2
coke,1.3,12,0
mountain_dew,1.4,12,1
coke,1.3,12,2
ice_lemon_tea,1.4,13,0
fanta_orange,1.1,13,1
sprite,1.2,14,0
fanta_grape,1.1,14,1
pepsi,1.1,14,2
mountain_dew,1.4,14,3
pepsi,1.1,14,4
fanta_grape,1.1,14,5
ice_lemon_tea,1.4,14,6
sprite,1.2,14,7
coke,1.3,15,0
fanta_orange,1.1,15,1
coke,1.3,15,2
pepsi,1.1,15,3
coke,1.3,15,4
mountain_dew,1.4,16,0
pepsi,1.1,16,1
coke,1.3,16,2
fanta_grape,1.1,16,3
fanta_grape,1.1,17,0
fanta_grape,1.1,17,1
coke,1.3,18,0
fanta_orange,1.1,18,1
fanta_grape,1.1,18,2
ice_lemon_tea,1.4,18,3
coke,1.3,19,0
mountain_dew,1.4,19,1
coke,1.3,19,2
sprite,1.2,20,0
pepsi,1.1,21,0
fanta_orange,1.1,21,1
coke,1.3,22,0
ice_lemon_tea,1.4,22,1
ice_lemon_tea,1.4,22,2
pepsi,1.1,23,0
