drink,price,hour,arrival_no
fanta_grape,1.1,0,0
coke,1.3,0,1
mountain_dew,1.4,1,0
fanta_grape,1.1,1,1
sprite,1.2,1,2
fanta_orange,1.1,1,3
coke,1.3,1,4
pepsi,1.1,2,0
fanta_grape,1.1,2,1
fanta_grape,1.1,2,2
fanta_grape,1.1,2,3
sprite,1.2,2,4
fanta_orange,1.1,3,0
sprite,1.2,3,1
fanta_orange,1.1,4,0
mountain_dew,1.4,4,1
coke,1.3,4,2
fanta_grape,1.1,4,3
pepsi,1.1,4,4
ice_lemon_tea,1.4,6,0
fanta_grape,1.1,6,1
sprite,1.2,6,2
sprite,1.2,7,0
sprite,1.2,7,1
ice_lemon_tea,1.4,7,2
pepsi,1.1,8,0
fanta_orange,1.1,8,1
fanta_orange,1.1,8,2
pepsi,1.1,9,0
sprite,1.2,9,1
fanta_orange,1.1,10,0
fanta_orange,1.1,11,0
pepsi,1.1,11,1
fanta_orange,1.1,12,0
coke,1.3,13,0
ice_lemon_tea,1.4,14,0
mountain_dew,1.4,14,1
ice_lemon_tea,1.4,14,2
sprite,1.2,14,3
pepsi,1.1,14,4
mountain_dew,1.4,15,0
sprite,1.2,15,1
ice_lemon_tea,1.4,15,2
mountain_dew,1.4,15,3
fanta_orange,1.1,17,0
pepsi,1.1,18,0
coke,1.3,18,1
mountain_dew,1.4,19,0
ice_lemon_tea,1.4,19,1
coke,1.3,19,2
coke,1.3,19,3
pepsi,1.1,20,0
mountain_dew,1.4,20,1
mountain_dew,1.4,21,0
pepsi,1.1,22,0
mountain_dew,1.4,22,1
ice_lemon_tea,1.4,22,2
pepsi,1.1,22,3
sprite,1.2,24,0
mountain_dew,1.4,24,1
coke,1.3,24,2
fanta_orange,1.1,24,3
pepsi,1.1,25,0
sprite,1.2,25,1
mountain_dew,1.4,25,2
fanta_grape,1.1,25,3
ice_lemon_tea,1.4,25,4
coke,1.3,25,5
ice_lemon_tea,1.4,26,0
coke,1.3,26,1
pepsi,1.1,26,2
fanta_grape,1.1,27,0
sprite,1.2,27,1
mountain_dew,1.4,27,2
coke,1.3,27,3
ice_lemon_tea,1.4,28,0
sprite,1.2,28,1
fanta_grape,1.1,29,0
fanta_grape,1.1,29,1
sprite,1.2,30,0
ice_lemon_tea,1.4,30,1
sprite,1.2,30,2
sprite,1.2,30,3
fanta_grape,1.1,30,4
coke,1.3,32,0
mountain_dew,1.4,32,1
mountain_dew,1.4,32,2
fanta_orange,1.1,32,3
ice_lemon_tea,1.4,32,4
pepsi,1.1,33,0
sprite,1.2,33,1
ice_lemon_tea,1.4,33,2
pepsi,1.1,33,3
fanta_grape,1.1,33,4
fanta_grape,1.1,33,5
ice_lemon_tea,1.4,34,0
fanta_orange,1.1,34,1
sprite,1.2,34,2
mountain_dew,1.4,34,3
coke,1.3,35,0
pepsi,1.1,35,1
ice_lemon_tea,1.4,35,2
fanta_orange,1.1,35,3
pepsi,1.1,36,0
pepsi,1.1,37,0
sprite,1.2,37,1
coke,1.3,37,2
sprite,1.2,37,3
fanta_orange,1.1,37,4
fanta_orange,1.1,37,5
sprite,1.2,37,6
sprite,1.2,38,0
mountain_dew,1.4,38,1
sprite,1.2,40,0
pepsi,1.1,40,1
pepsi,1.1,40,2
sprite,1.2,40,3
coke,1.3,40,4
ice_lemon_tea,1.4,40,5
fanta_grape,1.1,41,0
sprite,1.2,41,1
coke,1.3,41,2
coke,1.3,42,0
mountain_dew,1.4,42,1
coke,1.3,42,2
coke,1.3,42,3
fanta_grape,1.1,42,4
ice_lemon_tea,1.4,42,5
fanta_orange,1.1,43,0
fanta_orange,1.1,43,1
sprite,1.2,44,0
pepsi,1.1,44,1
fanta_grape,1.1,44,2
coke,1.3,44,3
fanta_orange,1.1,45,0
sprite,1.2,45,1
fanta_orange,1.1,46,0
ice_lemon_tea,1.4,46,1
sprite,1.2,47,0
sprite,1.2,47,1
fanta_orange,1.1,47,2
sprite,1.2,48,0
ice_lemon_tea,1.4,48,1
fanta_grape,1.1,48,2
mountain_dew,1.4,48,3
mountain_dew,1.4,48,4
coke,1.3,48,5
ice_lemon_tea,1.4,49,0
ice_lemon_tea,1.4,49,1
mountain_dew,1.4,50,0
ice_lemon_tea,1.4,51,0
coke,1.3,51,1
coke,1.3,52,0
fanta_grape,1.1,52,1
ice_lemon_tea,1.4,52,2
ice_lemon_tea,1.4,53,0
coke,1.3,53,1
fanta_grape,1.1,53,2
coke,1.3,53,3
ice_lemon_tea,1.4,53,4
ice_lemon_tea,1.4,54,0
coke,1.3,54,1
ice_lemon_tea,1.4,54,2
coke,1.3,55,0
ice_lemon_tea,1.4,55,1
coke,1.3,55,2
ice_lemon_tea,1.4,56,0
coke,1.3,56,1
coke,1.3,56,2
ice_lemon_tea,1.4,56,3
coke,1.3,56,4
coke,1.3,57,0
ice_lemon_tea,1.4,58,0
coke,1.3,58,1
coke,1.3,59,0
coke,1.3,59,1
ice_lemon_tea,1.4,60,0
coke,1.3,60,1
ice_lemon_tea,1.4,61,0
ice_lemon_tea,1.4,61,1
ice_lemon_tea,1.4,61,2
coke,1.3,62,0
coke,1.3,62,1
coke,1.3,62,2
ice_lemon_tea,1.4,63,0
coke,1.3,64,0
ice_lemon_tea,1.4,64,1
ice_lemon_tea,1.4,64,2
ice_lemon_tea,1.4,64,3
coke,1.3,65,0
ice_lemon_tea,1.4,65,1
coke,1.3,65,2
coke,1.3,65,3
coke,1.3,66,0
coke,1.3,67,0
coke,1.3,67,1
coke,1.3,67,2
coke,1.3,67,3
coke,1.3,67,4
coke,1.3,67,5
