drink,price,hour,arrival_no
pepsi,1.1,0,0
fanta_grape,1.1,0,1
coke,1.3,1,0
sprite,1.2,2,0
sprite,1.2,2,1
mountain_dew,1.4,2,2
mountain_dew,1.4,2,3
mountain_dew,1.4,2,4
mountain_dew,1.4,3,0
ice_lemon_tea,1.4,3,1
fanta_grape,1.1,4,0
pepsi,1.1,4,1
fanta_grape,1.1,5,0
mountain_dew,1.4,5,1
ice_lemon_tea,1.4,5,2
sprite,1.2,5,3
fanta_grape,1.1,5,4
mountain_dew,1.4,6,0
ice_lemon_tea,1.4,6,1
fanta_grape,1.1,6,2
pepsi,1.1,6,3
fanta_orange,1.1,6,4
ice_lemon_tea,1.4,7,0
fanta_grape,1.1,7,1
ice_lemon_tea,1.4,7,2
mountain_dew,1.4,8,0
fanta_orange,1.1,8,1
ice_lemon_tea,1.4,8,2
pepsi,1.1,8,3
fanta_orange,1.1,8,4
coke,1.3,8,5
pepsi,1.1,9,0
ice_lemon_tea,1.4,9,1
fanta_grape,1.1,10,0
coke,1.3,11,0
fanta_orange,1.1,11,1
fanta_orange,1.1,11,2
fanta_orange,1.1,12,0
fanta_orange,1.1,12,1
fanta_grape,1.1,12,2
fanta_grape,1.1,13,0
fanta_orange,1.1,13,1
fanta_orange,1.1,13,2
fanta_grape,1.1,14,0
sprite,1.2,14,1
pepsi,1.1,14,2
ice_lemon_tea,1.4,15,0
ice_lemon_tea,1.4,15,1
fanta_orange,1.1,15,2
ice_lemon_tea,1.4,16,0
sprite,1.2,17,0
fanta_orange,1.1,17,1
mountain_dew,1.4,17,2
coke,1.3,17,3
pepsi,1.1,18,0
coke,1.3,18,1
ice_lemon_tea,1.4,18,2
fanta_orange,1.1,18,3
pepsi,1.1,18,4
ice_lemon_tea,1.4,18,5
pepsi,1.1,19,0
fanta_grape,1.1,19,1
coke,1.3,20,0
fanta_grape,1.1,20,1
ice_lemon_tea,1.4,20,2
mountain_dew,1.4,20,3
sprite,1.2,20,4
coke,1.3,21,0
fanta_grape,1.1,21,1
mountain_dew,1.4,21,2
mountain_dew,1.4,22,0
pepsi,1.1,22,1
fanta_orange,1.1,22,2
pepsi,1.1,23,0
coke,1.3,23,1
mountain_dew,1.4,23,2
pepsi,1.1,23,3
