drink,price,hour,arrival_no
coke,1.3,0,0
coke,1.3,1,0
sprite,1.2,2,0
fanta_orange,1.1,2,1
mountain_dew,1.4,2,2
fanta_grape,1.1,2,3
ice_lemon_tea,1.4,3,0
sprite,1.2,3,1
fanta_grape,1.1,3,2
ice_lemon_tea,1.4,3,3
ice_lemon_tea,1.4,5,0
pepsi,1.1,5,1
fanta_orange,1.1,5,2
sprite,1.2,5,3
mountain_dew,1.4,5,4
pepsi,1.1,6,0
pepsi,1.1,6,1
fanta_grape,1.1,6,2
mountain_dew,1.4,7,0
coke,1.3,7,1
pepsi,1.1,7,2
sprite,1.2,7,3
sprite,1.2,9,0
sprite,1.2,9,1
mountain_dew,1.4,9,2
pepsi,1.1,9,3
ice_lemon_tea,1.4,9,4
ice_lemon_tea,1.4,9,5
coke,1.3,9,6
mountain_dew,1.4,10,0
coke,1.3,10,1
mountain_dew,1.4,10,2
ice_lemon_tea,1.4,11,0
fanta_orange,1.1,12,0
mountain_dew,1.4,12,1
fanta_orange,1.1,12,2
mountain_dew,1.4,13,0
ice_lemon_tea,1.4,14,0
ice_lemon_tea,1.4,14,1
ice_lemon_tea,1.4,15,0
fanta_grape,1.1,16,0
coke,1.3,16,1
mountain_dew,1.4,16,2
ice_lemon_tea,1.4,17,0
coke,1.3,17,1
pepsi,1.1,17,2
mountain_dew,1.4,17,3
sprite,1.2,17,4
fanta_grape,1.1,18,0
mountain_dew,1.4,18,1
fanta_orange,1.1,18,2
fanta_orange,1.1,18,3
coke,1.3,20,0
coke,1.3,20,1
ice_lemon_tea,1.4,20,2
fanta_orange,1.1,20,3
pepsi,1.1,21,0
fanta_grape,1.1,21,1
coke,1.3,21,2
sprite,1.2,22,0
pepsi,1.1,22,1
fanta_grape,1.1,22,2
fanta_orange,1.1,22,3
sprite,1.2,22,4
coke,1.3,23,0
pepsi,1.1,23,1
fanta_grape,1.1,23,2
