drink,price,hour,arrival_no
mountain_dew,1.4,0,0
pepsi,1.1,0,1
fanta_orange,1.1,0,2
ice_lemon_tea,1.4,1,0
coke,1.3,1,1
fanta_grape,1.1,2,0
sprite,1.2,2,1
sprite,1.2,3,0
coke,1.3,3,1
mountain_dew,1.4,3,2
sprite,1.2,3,3
fanta_orange,1.1,4,0
sprite,1.2,6,0
sprite,1.2,6,1
coke,1.3,6,2
mountain_dew,1.4,7,0
ice_lemon_tea,1.4,7,1
mountain_dew,1.4,7,2
fanta_orange,1.1,7,3
sprite,1.2,8,0
ice_lemon_tea,1.4,8,1
fanta_orange,1.1,8,2
pepsi,1.1,8,3
fanta_orange,1.1,8,4
mountain_dew,1.4,9,0
fanta_orange,1.1,9,1
coke,1.3,9,2
fanta_orange,1.1,9,3
pepsi,1.1,9,4
ice_lemon_tea,1.4,10,0
coke,1.3,10,1
coke,1.3,10,2
mountain_dew,1.4,11,0
fanta_orange,1.1,11,1
fanta_orange,1.1,11,2
fanta_grape,1.1,11,3
mountain_dew,1.4,11,4
mountain_dew,1.4,12,0
mountain_dew,1.4,12,1
mountain_dew,1.4,13,0
fanta_grape,1.1,13,1
sprite,1.2,14,0
coke,1.3,14,1
coke,1.3,15,0
coke,1.3,15,1
coke,1.3,15,2
pepsi,1.1,15,3
coke,1.3,15,4
ice_lemon_tea,1.4,16,0
fanta_orange,1.1,16,1
fanta_grape,1.1,16,2
pepsi,1.1,16,3
fanta_grape,1.1,17,0
coke,1.3,17,1
sprite,1.2,17,2
fanta_orange,1.1,18,0
coke,1.3,19,0
fanta_grape,1.1,19,1
pepsi,1.1,19,2
fanta_orange,1.1,19,3
mountain_dew,1.4,20,0
pepsi,1.1,20,1
pepsi,1.1,20,2
mountain_dew,1.4,20,3
pepsi,1.1,20,4
ice_lemon_tea,1.4,21,0
fanta_grape,1.1,21,1
mountain_dew,1.4,21,2
coke,1.3,22,0
fanta_orange,1.1,22,1
pepsi,1.1,22,2
fanta_grape,1.1,22,3
mountain_dew,1.4,22,4
sprite,1.2,23,0
sprite,1.2,24,0
pepsi,1.1,24,1
ice_lemon_tea,1.4,24,2
coke,1.3,25,0
pepsi,1.1,26,0
coke,1.3,26,1
mountain_dew,1.4,26,2
sprite,1.2,26,3
pepsi,1.1,26,4
fanta_orange,1.1,26,5
fanta_orange,1.1,26,6
pepsi,1.1,27,0
fanta_grape,1.1,27,1
sprite,1.2,27,2
coke,1.3,28,0
fanta_orange,1.1,28,1
pepsi,1.1,28,2
ice_lemon_tea,1.4,28,3
sprite,1.2,28,4
sprite,1.2,28,5
mountain_dew,1.4,29,0
fanta_orange,1.1,29,1
pepsi,1.1,29,2
fanta_grape,1.1,31,0
coke,1.3,31,1
pepsi,1.1,31,2
coke,1.3,31,3
mountain_dew,1.4,32,0
fanta_orange,1.1,32,1
coke,1.3,32,2
sprite,1.2,32,3
fanta_grape,1.1,34,0
pepsi,1.1,35,0
fanta_orange,1.1,35,1
mountain_dew,1.4,35,2
ice_lemon_tea,1.4,36,0
mountain_dew,1.4,36,1
coke,1.3,37,0
coke,1.3,37,1
coke,1.3,37,2
fanta_grape,1.1,37,3
coke,1.3,37,4
mountain_dew,1.4,38,0
sprite,1.2,38,1
sprite,1.2,38,2
sprite,1.2,39,0
sprite,1.2,39,1
sprite,1.2,39,2
fanta_orange,1.1,39,3
pepsi,1.1,39,4
pepsi,1.1,39,5
ice_lemon_tea,1.4,40,0
coke,1.3,40,1
ice_lemon_tea,1.4,41,0
ice_lemon_tea,1.4,42,0
ice_lemon_tea,1.4,42,1
ice_lemon_tea,1.4,42,2
fanta_grape,1.1,42,3
fanta_grape,1.1,42,4
ice_lemon_tea,1.4,42,5
coke,1.3,43,0
ice_lemon_tea,1.4,44,0
coke,1.3,45,0
ice_lemon_tea,1.4,45,1
fanta_grape,1.1,45,2
ice_lemon_tea,1.4,45,3
fanta_grape,1.1,45,4
sprite,1.2,47,0
sprite,1.2,48,0
coke,1.3,48,1
sprite,1.2,49,0
fanta_grape,1.1,52,0
sprite,1.2,53,0
sprite,1.2,54,0
coke,1.3,54,1
sprite,1.2,55,0
ice_lemon_tea,1.4,55,1
coke,1.3,55,2
coke,1.3,56,0
coke,1.3,56,1
ice_lemon_tea,1.4,56,2
coke,1.3,56,3
coke,1.3,56,4
sprite,1.2,57,0
ice_lemon_tea,1.4,57,1
sprite,1.2,57,2
fanta_grape,1.1,57,3
sprite,1.2,57,4
ice_lemon_tea,1.4,58,0
coke,1.3,58,1
sprite,1.2,58,2
coke,1.3,58,3
coke,1.3,58,4
fanta_grape,1.1,59,0
ice_lemon_tea,1.4,59,1
fanta_grape,1.1,60,0
ice_lemon_tea,1.4,60,1
ice_lemon_tea,1.4,61,0
ice_lemon_tea,1.4,61,1
